fold,participant,windows,mae,rmse,corr
195,f4d488e3c8096842b645280d8f01ae43,26,3.642653378255837,4.271702630010744,0.738969872271883
196,f5529fbae87a8d170937d3e39d5a63cc,11,3.8175225547769203,4.372698023788033,0.5428265797731592
197,f578948fdf09c92bc603dae7400b6673,6,3.6886906422590733,4.138441000542219,0.6734811617855363
198,f5fa7e56d2303d8b1e3bb33d367c98c5,5,2.0556226763756604,2.604547405605221,0.859624429107574
199,f663e0d08f34a40d5930a3298bc8e98e,5,2.535311498889749,2.6551422084100245,0.4362142341142008
200,f7472689b3556548c03d3b064d6ab9a8,2,5.882815345731059,6.816966772777491,-1.0
201,fa394f6d3d077bd5568fc3bc01580806,4,6.182277842260614,7.294331004978088,0.8248944880429846
202,fbcc8cd8254960ed44ffdd3390a2f6a0,1,3.403293426825028,3.403293426825028,nan
203,fc26652471ae91bdbbc11a8be89c362c,30,3.793264389777872,4.398888313778532,0.6339588632934771
204,fc73375dda5e5460f7088c78654a945e,13,2.9566483031222077,3.7174220819290107,0.5350621773923968
205,fe8ddda4ae8c71f7054ca024b82f5c98,6,3.2845637767757534,3.420053439191518,-0.3801934185583121
206,ffc4b142e017c162ed4db7b05414fc4b,23,4.238035291264694,4.738170796032016,0.5015511056052782
